LBound	RBound	NodeID	ParentID	NodeName
1126	1131	565	561	Islas Baleares
1132	1133	568	561	Jerez
1134	1135	569	561	Jumilla
1136	1137	570	561	Navarra
1138	1139	571	561	Penedés
1140	1141	572	561	Ribera del Duero
1142	1143	573	561	Rioja
1144	1145	574	561	Toro
1146	1147	575	561	Utiel-Requena
1148	1149	576	561	Valencia
1152	1153	578	577	Bündner Herrschaft
1154	1155	579	577	Canton of Geneva
1156	1157	580	577	Grisons
1158	1159	581	577	Neuchâtel
1160	1161	582	577	St. Gallen
1162	1163	583	577	Ticino
1164	1165	584	577	Valais
1166	1167	585	577	Vaud
1168	1169	586	577	Zürich
1174	1175	589	588	Crimea
1176	1177	590	588	Odessa Oblast
1180	1181	592	591	Essex
1182	1183	593	591	Hampshire
1184	1185	594	591	Kent
1186	1187	595	591	Norfolk
1188	1189	596	591	Shropshire
1190	1191	597	591	Suffolk
1192	1193	598	591	Sussex
1198	1201	601	600	Australian Capital Territory
1202	1227	603	600	New South Wales
1228	1233	617	600	Queensland
1234	1265	620	600	South Australia
1266	1271	636	600	Tasmania
1272	1315	639	600	Victoria
1316	1335	661	600	Western Australia
1338	1345	672	671	Auckland Region
1346	1347	676	671	Bay of Plenty
1348	1351	677	671	Canterbury
1352	1353	679	671	Central Otago
1354	1355	680	671	Gisborne
1356	1357	681	671	"Hawke's Bay Region"
1358	1367	682	671	Marlborough
1368	1369	687	671	Nelson
1370	1371	688	671	Northland Region
1372	1375	689	671	Waikato
1376	1379	691	671	Wairarapa
57	58	31	30	Curaçá
59	60	32	30	Irecê
61	62	33	30	Juazeiro
65	66	35	34	Nova Mutum
69	70	37	36	Andradas
71	72	38	36	Caldas
73	74	39	36	Pirapora
75	76	40	36	Santa Rita de Caldas
79	80	42	41	Bandeirantes
81	82	43	41	Marialva
83	84	44	41	Maringá
85	86	45	41	Rosário do Avaí
89	90	47	46	Casa Nova
91	92	48	46	Petrolina
93	94	49	46	Santa Maria da Boa Vista
97	98	51	50	Bento Gonçalves (city)
99	100	52	50	Caxias do Sul
101	102	53	50	Garibaldi
105	106	55	54	Pinheiro Preto
107	108	56	54	São Joaquim
109	110	57	54	Tangará
113	114	59	58	Jundiaí
115	116	60	58	São Roque
121	122	63	62	Fraser Valley
123	124	64	62	Okanagan Valley
125	126	65	62	Similkameen Valley
127	128	66	62	Vancouver Island
131	132	68	67	Annapolis Valley
135	136	70	69	Lake Erie North Shore and Pelee Island
137	138	71	69	Niagara Peninsula
139	140	72	69	Prince Edward County
141	142	73	69	Toronto
145	146	75	74	Eastern Townships
157	158	81	80	Sonoita
161	162	83	82	Altus
163	164	84	82	Ozark Mountains AR
167	168	86	85	Central Coast/Monterey
169	170	87	85	Lake County
171	172	88	85	Livermore Valley
173	174	89	85	Mendocino County
175	176	90	85	Napa Valley
177	178	91	85	San Joaquin County
179	180	92	85	San Luis Obispo County
181	182	93	85	Santa Cruz Mountains
183	184	94	85	Santa Ynez valley
185	186	95	85	Sonoma Valley
187	188	96	85	Temecula
191	192	98	97	Palisade/Grand Valley
195	196	100	99	Lake Michigan Shore
197	198	101	99	Leelanau Peninsula
199	200	102	99	Old Mission Peninsula
203	204	104	103	Augusta
205	206	105	103	Hermann
207	208	106	103	Ozark Highlands
211	212	108	107	Eastern Long Island
213	214	109	107	Finger Lakes
215	216	110	107	Hudson River Valley
217	218	111	107	Lake Erie Region NY
221	222	113	112	Yadkin Valley
